Manufacturer;Manufacture Part Number;Quoted Manufacturer;Quoted LCSC Part Number;Quantity;Unit Price;Order Price;Quantity Available;Min\Mult Order Qty;RoHS;Part Match Confidence
Samsung;CL21B104KCFNNNE;Samsung Electro-Mechanics;C28233;3000;0,0067;20,1;1845050;50\50;yes;100%
Samsung;CL21A226MPQNNNE;Samsung Electro-Mechanics;C29277;1000;0,0126;12,6;1374500;20\20;yes;100%
Samsung;CL21A475KAQNNNE;Samsung Electro-Mechanics;C1779;2000;0,0081;16,2;5222650;50\50;yes;100%
XFCN;PZ254V-11-02P;XFCN;C492401;4000;0,0091;36,4;142900;50\50;yes;100%
ON Semiconductor;NSR0320MW2T1G;onsemi;C48192;1000;0,151;151;23045;1\1;yes;100%
Littelfuse;SMBJ5.0A;Littelfuse;C83333;1000;0,1093;109,3;11113;1\1;yes;100%
HONGLITRONIC(Hongli Zhihui (HONGLITRONIC));HL-508H203BC;HONGLITRONIC(Hongli Zhihui (HONGLITRONIC)) ;C568943;1000;0,0378;37,8;23440;10\10;yes;100%
EKINGLUX;EL504URC;EKINGLUX;C2856646;1000;0,0251;25,1;2200;20\20;yes;100%
Shenzhen JDT Fuse;ASMD1206-035;Shenzhen JDT Fuse;C135337;1000;0,041;41;3430;10\10;yes;100%
Yuandi;TF-01A;Yuandi;C2889258;1000;0,063;63;29765;5\5;yes;100%
Senba Sensing Tech;GL5528;Senba Sensing Tech;C125627;1000;0,0299;29,9;46780;10\10;yes;100%
Winsok Semicon;WST6225;Winsok Semicon;C148356;2000;0,0518;103,6;8990;5\5;yes;100%
UNI-ROYAL(Uniroyal Elec);0805W8J0000T5E;UNI-ROYAL(Uniroyal Elec);C25275;1000;0,0015;1,5;1477100;100\100;yes;100%
UNI-ROYAL(Uniroyal Elec);0805W8F1002T5E;UNI-ROYAL(Uniroyal Elec);C38522;6000;0,0019;11,4;375900;100\100;yes;100%
UNI-ROYAL(Uniroyal Elec);0805W8F1052T5E;UNI-ROYAL(Uniroyal Elec);C40086;2000;0,0017;3,4;10200;100\100;yes;100%
UNI-ROYAL(Uniroyal Elec);0805W8F2200T5E;UNI-ROYAL(Uniroyal Elec);C17557;2000;0,0018;3,6;203700;100\100;yes;100%
UNI-ROYAL(Uniroyal Elec);0805W8F1001T5E;UNI-ROYAL(Uniroyal Elec);C17513;2000;0,002;4;786000;100\100;yes;100%
G-Switch;GT-TC060B-H025-L1;G-Switch;C778169;3000;0,0448;134,4;13610;10\10;yes;100%
None;C9091;Made in China;C9091;1000;;222,2;;1\1;yes;100%
Espressif Systems;ESP32-S3-WROOM-1-N8;Espressif Systems;C2913198;1000;;3963,7;;1\1;yes;100%
Diodes;AP2114HA-3.3TRG1;Diodes Incorporated;C460314;1000;;177,9;;1\1;yes;100%
Texas Instruments;HDC1080DMBR;Texas Instruments;C82227;1000;3,5687;3568,7;2398;1\1;yes;100%
;;;;;Total;8736,8;;;;0%
