Manufacturer;Manufacture Part Number;Quoted Manufacturer;Quoted LCSC Part Number;Quantity;Unit Price;Order Price;Quantity Available;Min\Mult Order Qty;RoHS;Part Match Confidence
Samsung;CL21B104KCFNNNE;Samsung Electro-Mechanics;C28233;150;0,0095;1,43;1845800;50\50;yes;100%
Samsung;CL21A226MPQNNNE;Samsung Electro-Mechanics;C29277;50;0,0188;0,94;1374500;20\20;yes;100%
Samsung;CL21A475KAQNNNE;Samsung Electro-Mechanics;C1779;100;0,012;1,2;5223750;50\50;yes;100%
XFCN;PZ254V-11-02P;XFCN;C492401;200;0,0128;2,56;142950;50\50;yes;100%
ON Semiconductor;NSR0320MW2T1G;onsemi;C48192;50;0,1773;8,87;23045;1\1;yes;100%
Littelfuse;SMBJ5.0A;Littelfuse;C83333;50;0,1336;6,68;11113;1\1;yes;100%
HONGLITRONIC(Hongli Zhihui (HONGLITRONIC));HL-508H203BC;HONGLITRONIC(Hongli Zhihui (HONGLITRONIC)) ;C568943;50;0,0608;3,04;23440;10\10;yes;100%
EKINGLUX;EL504URC;EKINGLUX;C2856646;50;0,0359;1,8;2200;20\20;yes;100%
Shenzhen JDT Fuse;ASMD1206-035;Shenzhen JDT Fuse;C135337;50;0,0626;3,13;3430;10\10;yes;100%
Yuandi;TF-01A;Yuandi;C2889258;50;0,0788;3,94;29765;1\5;yes;100%
Senba Sensing Tech;GL5528;Senba Sensing Tech;C125627;50;0,0448;2,24;46780;10\10;yes;100%
Winsok Semicon;WST6225;Winsok Semicon;C148356;100;0,0664;6,64;8990;5\5;yes;100%
UNI-ROYAL(Uniroyal Elec);0805W8J0000T5E;UNI-ROYAL(Uniroyal Elec);C25275;50;0,0019;0,1;1476500;100\100;yes;100%
UNI-ROYAL(Uniroyal Elec);0805W8F1002T5E;UNI-ROYAL(Uniroyal Elec);C38522;300;0,003;0,9;375900;100\100;yes;100%
UNI-ROYAL(Uniroyal Elec);0805W8F1052T5E;UNI-ROYAL(Uniroyal Elec);C40086;100;0,0022;0,22;10200;100\100;yes;100%
UNI-ROYAL(Uniroyal Elec);0805W8F2200T5E;UNI-ROYAL(Uniroyal Elec);C17557;100;0,0023;0,23;204700;100\100;yes;100%
UNI-ROYAL(Uniroyal Elec);0805W8F1001T5E;UNI-ROYAL(Uniroyal Elec);C17513;100;0,0024;0,24;788800;100\100;yes;100%
G-Switch;GT-TC060B-H025-L1;G-Switch;C778169;150;0,0561;8,42;13610;10\10;yes;100%
None;C9091;Made in China;C9091;50;;13,72;;1\1;yes;100%
Espressif Systems;ESP32-S3-WROOM-1-N8;Espressif Systems;C2913198;50;;222,17;;1\1;yes;100%
Diodes;AP2114HA-3.3TRG1;Diodes Incorporated;C460314;50;;10,54;;1\1;yes;100%
Texas Instruments;HDC1080DMBR;Texas Instruments;C82227;50;4,061;203,05;2398;1\1;yes;100%
;;;;;Total;502,06;;;;0%
